name,address,lat,lng,open_hours,rest_days,limited_time,midnight,pudding,basque,tiramisu,dessert,salty_food,café,study,chat,photo,pet,wifi
祖厝咖啡·gugucoffee,中壢區吉安街21號,24.94940629,121.2285608,11:00-18:00,Mon,0,0,1,0,0,1,0,1,0,0,0,0,0
卡爾地咖啡館,桃園市桃園區大華五街27號,25.0020788,121.3080733,,,0,0,0,0,0,1,0,1,0,0,0,0,0
貳拾穗咖啡,桃園市桃園區樹仁三街145-3號,24.9739842,121.3197976,7:00-17:00/假日8:00-17:00,,0,0,0,0,0,1,0,1,1,0,0,0,0
路易莎（八德興豐門市）,八德區興豐路416號,24.9296469,121.289132,7:00-21:00,,0,0,0,0,0,1,0,1,0,1,0,0,0
Cerro希羅精品咖啡,桃園區同德五街218號,25.0133652,121.2970603,平日12:00-17:，週六11:00-18:00,Sun,0,0,0,0,0,0,0,1,0,0,0,0,0
Habbit coffee,桃園市中壢區五族二街115號,24.9589005,121.20577,平日11:00-18:00，假日10:00-18:00,不定時,0,0,0,0,0,1,0,1,1,0,1,0,0
Lai cafe 賴在家咖啡,桃園市大園區青昇路一段48巷28號,25.0137274,121.2241445,,,0,0,0,0,0,1,0,1,0,0,0,0,0
秋穗,桃園市桃園區慈光街164巷16號,25.0080035,121.3008942,11:00-18:00,Tue.Wed.Thr.,0,0,1,0,1,1,0,1,0,0,0,0,0
著手咖啡桃園店,桃園市中壢區成功路135號,24.9763566,121.259783,15:00-22:00,Thr.Sun.,0,0,0,0,0,1,0,1,1,0,0,0,0
旅人咖啡館,桃園縣八德市長興路46號,24.9304575,121.2834603,9:30-21:00,,0,0,0,0,0,0,0,1,0,0,0,0,0
米諾咖啡館,桃園縣大溪鎮僑愛一街6巷15號,24.9213039,121.2927622,12:00-18:00,Mon.,0,0,0,0,0,0,0,1,0,0,0,0,0
鹿點咖啡千瀑店,桃園市龍潭區三林里中正路大平段,24.82991744,121.242115,平日9:00-16:00，假日9:00-17:00,Tue.Wed.,0,0,0,0,0,1,1,1,0,0,0,1,1
弎咖 θRICA CAFE,桃園市中壢區文化二路305號,24.9785616,121.2501768,平日11:00-19:00，假日12:00-18:00,,0,0,1,0,0,1,0,1,0,0,0,0,0
老窩咖啡 桃園中山東店,桃園市桃園區中山東路32之13號,24.9959914,121.3152797,8:00-17:30,Tue.,0,0,0,0,0,1,0,1,0,0,0,0,0
迴憶咖啡,桃園縣中壢市延平路廟前31號,24.9633632,121.2329092,9:00-17:00,Mon,0,0,0,0,1,1,0,1,1,0,0,0,0
Backdoor Cafe,"桃園市中壢區中央路216巷9號""",24.9644899,121.1911852,12:30-18:00,Mon.,0,0,0,0,1,1,1,1,1,0,0,0,1
油田咖啡,桃園市八德區豐田三路83號,24.9473143,121.2975659,12:00-16:00,Sat.Sun.,0,0,0,0,0,0,0,1,0,0,0,0,1
